2025-02-07T00:47:02.950+0300	info	config/config.go:93	Поля конфигурации собраны.
2025-02-07T00:47:03.069+0300	info	repository/repository.go:24	Инициировано подключение к Базе
2025-02-07T00:47:07.269+0300	info	retailCRM/retailCRM.go:57	Данные получены	{"Страница": 1, "Количество заказов": 20}
2025-02-07T00:47:07.293+0300	info	repository/insert.go:22	Элементы добавлены в базу	{"Количество": 20}
2025-02-07T00:47:08.045+0300	info	retailCRM/retailCRM.go:57	Данные получены	{"Страница": 8, "Количество заказов": 3}
2025-02-07T00:47:08.067+0300	info	repository/insert.go:22	Элементы добавлены в базу	{"Количество": 3}
2025-02-07T00:47:11.111+0300	info	retailCRM/retailCRM.go:57	Данные получены	{"Страница": 2, "Количество заказов": 20}
2025-02-07T00:47:11.134+0300	info	repository/insert.go:22	Элементы добавлены в базу	{"Количество": 20}
2025-02-07T00:47:11.235+0300	info	retailCRM/retailCRM.go:57	Данные получены	{"Страница": 5, "Количество заказов": 20}
2025-02-07T00:47:11.258+0300	info	repository/insert.go:22	Элементы добавлены в базу	{"Количество": 20}
2025-02-07T00:47:11.323+0300	info	retailCRM/retailCRM.go:57	Данные получены	{"Страница": 3, "Количество заказов": 20}
2025-02-07T00:47:11.346+0300	info	repository/insert.go:22	Элементы добавлены в базу	{"Количество": 20}
2025-02-07T00:47:11.349+0300	info	retailCRM/retailCRM.go:57	Данные получены	{"Страница": 4, "Количество заказов": 20}
2025-02-07T00:47:11.371+0300	info	repository/insert.go:22	Элементы добавлены в базу	{"Количество": 20}
2025-02-07T00:47:11.378+0300	info	retailCRM/retailCRM.go:57	Данные получены	{"Страница": 6, "Количество заказов": 20}
2025-02-07T00:47:11.400+0300	info	repository/insert.go:22	Элементы добавлены в базу	{"Количество": 20}
2025-02-07T00:47:11.439+0300	info	retailCRM/retailCRM.go:57	Данные получены	{"Страница": 7, "Количество заказов": 20}
2025-02-07T00:47:11.461+0300	info	repository/insert.go:22	Элементы добавлены в базу	{"Количество": 20}
2025-02-07T00:47:11.461+0300	info	ooo_goods/main.go:50	Приложение завершило свою работу	{"Начало": "2025-02-07T00:47:02.950+0300", "Окончание": "2025-02-07T00:47:11.461+0300"}
